[08/06/2022 14:07:00 - INFO] Discord Presence activated
[08/06/2022 14:07:00 - INFO] Creating discord-rpc client
[08/06/2022 14:07:00 - ERROR] Encountered following error while trying to login:
Error: connection closed
[08/06/2022 14:07:00 - DEBUG] Loading git extension
[08/06/2022 14:07:15 - INFO] Disable: Cleaning up old listeners
[08/06/2022 14:07:15 - INFO] Disable: Destroyed the rpc instance
[08/06/2022 14:07:15 - INFO] Enable: Cleaning up old listeners
[08/06/2022 14:07:15 - INFO] Enable: Attempting to recreate login
[08/06/2022 14:07:15 - INFO] Creating discord-rpc client
[08/06/2022 14:07:15 - INFO] Successfully connected to Discord
[08/06/2022 14:07:15 - TRACE] VSCode language id: scss
[08/06/2022 14:09:17 - TRACE] VSCode language id: yuck
[08/06/2022 14:09:17 - TRACE] VSCode language id: yuck
[08/06/2022 14:09:36 - TRACE] VSCode language id: shellscript
[08/06/2022 14:09:37 - TRACE] VSCode language id: shellscript
[08/06/2022 14:09:39 - TRACE] VSCode language id: shellscript
[08/06/2022 14:09:39 - TRACE] VSCode language id: shellscript
[08/06/2022 14:09:40 - TRACE] VSCode language id: shellscript
[08/06/2022 14:09:40 - TRACE] VSCode language id: shellscript
[08/06/2022 14:09:47 - TRACE] VSCode language id: scss
[08/06/2022 14:10:02 - TRACE] VSCode language id: scss
[08/06/2022 14:10:31 - TRACE] VSCode language id: jsonc
[08/06/2022 14:10:39 - TRACE] VSCode language id: scss
[08/06/2022 14:10:39 - TRACE] VSCode language id: scss
[08/06/2022 14:28:04 - TRACE] VSCode language id: yuck
[08/06/2022 14:28:04 - TRACE] VSCode language id: yuck
[08/06/2022 14:28:06 - TRACE] VSCode language id: shellscript
[08/06/2022 14:28:06 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:09 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:10 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:13 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:13 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:15 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:18 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:20 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:22 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:29 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:31 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:34 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:36 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:38 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:39 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:41 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:43 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:44 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:46 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:48 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:50 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:52 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:54 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:55 - TRACE] VSCode language id: shellscript
[08/06/2022 14:29:57 - TRACE] VSCode language id: shellscript
[08/06/2022 14:30:06 - TRACE] VSCode language id: shellscript
[08/06/2022 14:30:08 - TRACE] VSCode language id: shellscript
[08/06/2022 14:31:59 - TRACE] VSCode language id: shellscript
[08/06/2022 14:32:18 - TRACE] VSCode language id: shellscript
[08/06/2022 14:32:18 - TRACE] VSCode language id: shellscript
[08/06/2022 14:33:33 - TRACE] VSCode language id: scss
[08/06/2022 14:33:33 - TRACE] VSCode language id: scss
[08/06/2022 14:33:39 - TRACE] VSCode language id: scss
[08/06/2022 14:33:46 - TRACE] VSCode language id: scss
[08/06/2022 14:33:59 - TRACE] VSCode language id: scss
[08/06/2022 14:34:00 - TRACE] VSCode language id: scss
[08/06/2022 14:34:02 - TRACE] VSCode language id: scss
[08/06/2022 14:34:06 - TRACE] VSCode language id: yuck
[08/06/2022 14:34:06 - TRACE] VSCode language id: yuck
[08/06/2022 14:34:06 - TRACE] VSCode language id: shellscript
[08/06/2022 14:34:06 - TRACE] VSCode language id: shellscript
[08/06/2022 14:34:12 - TRACE] VSCode language id: yuck
[08/06/2022 14:34:12 - TRACE] VSCode language id: yuck
[08/06/2022 14:34:13 - TRACE] VSCode language id: shellscript
[08/06/2022 14:34:13 - TRACE] VSCode language id: shellscript
[08/06/2022 14:34:24 - TRACE] VSCode language id: jsonc
[08/06/2022 14:34:26 - TRACE] VSCode language id: jsonc
[08/06/2022 14:34:28 - TRACE] VSCode language id: jsonc
[08/06/2022 14:34:30 - TRACE] VSCode language id: jsonc
[08/06/2022 14:34:31 - TRACE] VSCode language id: jsonc
[08/06/2022 14:34:33 - TRACE] VSCode language id: jsonc
[08/06/2022 14:34:33 - TRACE] VSCode language id: scss
[08/06/2022 14:34:33 - TRACE] VSCode language id: scss
[08/06/2022 14:34:35 - TRACE] VSCode language id: scss
[08/06/2022 14:34:37 - TRACE] VSCode language id: scss
