[08/06/2022 22:57:12 - INFO] Discord Presence activated
[08/06/2022 22:57:12 - INFO] Creating discord-rpc client
[08/06/2022 22:57:12 - ERROR] Encountered following error while trying to login:
Error: Could not connect
[08/06/2022 22:57:12 - DEBUG] Loading git extension
[08/06/2022 22:57:33 - INFO] Disable: Cleaning up old listeners
[08/06/2022 22:57:33 - INFO] Disable: Destroyed the rpc instance
[08/06/2022 22:57:33 - INFO] Enable: Cleaning up old listeners
[08/06/2022 22:57:33 - INFO] Enable: Attempting to recreate login
[08/06/2022 22:57:33 - INFO] Creating discord-rpc client
[08/06/2022 22:57:33 - INFO] Successfully connected to Discord
[08/06/2022 22:57:33 - TRACE] VSCode language id: ini
[08/06/2022 22:58:59 - TRACE] VSCode language id: ini
[08/06/2022 22:59:01 - TRACE] VSCode language id: ini
[08/06/2022 22:59:05 - TRACE] VSCode language id: ini
[08/06/2022 22:59:07 - TRACE] VSCode language id: ini
[08/06/2022 22:59:10 - TRACE] VSCode language id: ini
[08/06/2022 22:59:12 - TRACE] VSCode language id: ini
[08/06/2022 22:59:14 - TRACE] VSCode language id: ini
[08/06/2022 22:59:19 - TRACE] VSCode language id: ini
[08/06/2022 22:59:23 - TRACE] VSCode language id: ini
[08/06/2022 22:59:25 - TRACE] VSCode language id: ini
[08/06/2022 22:59:27 - TRACE] VSCode language id: ini
[08/06/2022 22:59:52 - TRACE] VSCode language id: ini
[08/06/2022 23:00:10 - TRACE] VSCode language id: ini
[08/06/2022 23:00:12 - TRACE] VSCode language id: ini
[08/06/2022 23:00:14 - TRACE] VSCode language id: ini
[08/06/2022 23:00:25 - TRACE] VSCode language id: ini
[08/06/2022 23:00:36 - TRACE] VSCode language id: ini
[08/06/2022 23:00:38 - TRACE] VSCode language id: ini
[08/06/2022 23:00:40 - TRACE] VSCode language id: ini
[08/06/2022 23:00:42 - TRACE] VSCode language id: ini
[08/06/2022 23:00:44 - TRACE] VSCode language id: ini
[08/06/2022 23:00:46 - TRACE] VSCode language id: ini
[08/06/2022 23:00:48 - TRACE] VSCode language id: ini
[08/06/2022 23:00:50 - TRACE] VSCode language id: ini
[08/06/2022 23:00:52 - TRACE] VSCode language id: ini
[08/06/2022 23:00:58 - TRACE] VSCode language id: ini
[08/06/2022 23:01:03 - TRACE] VSCode language id: ini
[08/06/2022 23:01:05 - TRACE] VSCode language id: ini
[08/06/2022 23:01:08 - TRACE] VSCode language id: ini
[08/06/2022 23:01:16 - TRACE] VSCode language id: ini
[08/06/2022 23:01:18 - TRACE] VSCode language id: ini
[08/06/2022 23:01:19 - TRACE] VSCode language id: ini
[08/06/2022 23:01:21 - TRACE] VSCode language id: ini
[08/06/2022 23:02:45 - TRACE] VSCode language id: ini
[08/06/2022 23:02:47 - TRACE] VSCode language id: ini
[08/06/2022 23:02:54 - TRACE] VSCode language id: ini
[08/06/2022 23:02:56 - TRACE] VSCode language id: ini
[08/06/2022 23:02:59 - TRACE] VSCode language id: ini
[08/06/2022 23:03:01 - TRACE] VSCode language id: ini
[08/06/2022 23:03:04 - TRACE] VSCode language id: ini
[08/06/2022 23:03:10 - TRACE] VSCode language id: ini
[08/06/2022 23:03:12 - TRACE] VSCode language id: ini
[08/06/2022 23:03:18 - TRACE] VSCode language id: ini
[08/06/2022 23:03:20 - TRACE] VSCode language id: ini
[08/06/2022 23:03:31 - TRACE] VSCode language id: ini
[08/06/2022 23:03:33 - TRACE] VSCode language id: ini
[08/06/2022 23:03:41 - TRACE] VSCode language id: ini
[08/06/2022 23:03:43 - TRACE] VSCode language id: ini
